parametres,cours_eau,station_mesure,code_prelevement,date_prelevement,date_analyse,resultat_analyse,unite_mesure,qualification_resultat,,,,,,,,
Chlorthiamide,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104412-PC-480139,2018-07-17,2018-07-20,0.007,µg/L,Correcte,,,,,,,,
Dimétachlore,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104412-PC-480139,2018-07-17,2018-07-20,0.004,µg/L,Correcte,,,,,,,,
Aldrine,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.002,µg/L,Correcte,,,,,,,,
DDT_44',,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.001,µg/L,Correcte,,,,,,,,
Fenpropimorphe,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.02,µg/L,Correcte,,,,,,,,
Isoproturon,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.007,µg/L,Correcte,,,,,,,,
Terbuméton,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.02,µg/L,Correcte,,,,,,,,
Cyprodinil,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.004,µg/L,Correcte,,,,,,,,
Propyzamide,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.007,µg/L,Correcte,,,,,,,,
Métaldéhyde,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104413-PC-480140,2018-11-15,2018-11-15,0.007,µg/L,Correcte,,,,,,,,
Conductivité,le_Falleron,FALLERON_A_MOUTIERS-EN-RETZ,20190219104328-PC-480050,2018-01-18,2018-01-18,700.0,µS/cm,Correcte,,,,,,,,
Taux_de_saturation_en_O2,le_Falleron,FALLERON_A_MOUTIERS-EN-RETZ,20190219104328-PC-480050,2018-01-18,2018-01-18,88.0,%,Correcte,,,,,,,,
Escherichia_coli,le_Falleron,FALLERON_A_MOUTIERS-EN-RETZ,20190219104328-PC-480050,2018-01-18,2018-01-18,1104.0,n/(100mL),Correcte,,,,,,,,
pH,le_Falleron,FALLERON_A_MOUTIERS-EN-RETZ,20190219104329-PC-480054,2018-05-16,2018-05-16,9.0,unité_pH,Correcte,,,,,,,,
Conductivité,le_Falleron,FALLERON_A_MOUTIERS-EN-RETZ,20190219104330-PC-480061,2018-12-06,2018-12-06,607.0,µS/cm,Correcte,,,,,,,,
Carbosulfan,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20181105101817-PC-17147,2018-12-17,2018-12-18,0.02,µg/L,Correcte,,,,,,,,
Desmediphame,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20181105101817-PC-17147,2018-12-17,2018-12-18,0.02,µg/L,Correcte,,,,,,,,
Di-n-octyl_phthalate,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20181105101817-PC-17147,2018-12-17,2018-12-18,0.5,µg/L,Correcte,,,,,,,,
Diméthachlore_CGA_50266,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20181105101817-PC-17147,2018-12-17,2018-12-18,0.053,µg/L,Correcte,,,,,,,,
Bifénox,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.02,µg/L,Correcte,,,,,,,,
Métoxuron,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Lénacile,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Hexachlorobutadiène,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.02,µg/L,Correcte,,,,,,,,
Bromacil,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Chlordane_gamma,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104406-PC-480136,2018-04-19,2018-04-20,0.001,µg/L,Correcte,,,,,,,,
Atrazine,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-17,0.004,µg/L,Correcte,,,,,,,,
Monuron,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-17,0.007,µg/L,Correcte,,,,,,,,
Azote_Kjeldahl,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-17,3.0,mg(N)/L,Correcte,,,,,,,,
Thifensulfuron_methyl,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-17,0.007,µg/L,Correcte,,,,,,,,
DDD_24',,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-18,0.001,µg/L,Correcte,,,,,,,,
Métolachlore,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-18,0.004,µg/L,Correcte,,,,,,,,
Dichlobenil,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-18,0.007,µg/L,Correcte,,,,,,,,
Cyfluthrine,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-18,0.007,µg/L,Correcte,,,,,,,,
Oxychlordane,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-18,0.004,µg/L,Correcte,,,,,,,,
Glufosinate,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-22,0.017,µg/L,Correcte,,,,,,,,
Alachlor_OXA,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104408-PC-480137,2018-05-17,2018-05-28,0.007,µg/L,Correcte,,,,,,,,
Pendiméthaline,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.004,µg/L,Correcte,,,,,,,,
PCB_52,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.002,µg/L,Correcte,,,,,,,,
Phosphore_total,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.9,mg(P)/L,Correcte,,,,,,,,
Mercaptodiméthur,,RAU_DE_PRIGNY_A_MOUTIERS-EN-RETZ,20190219104410-PC-480138,2018-06-21,2018-06-21,0.004,µg/L,Correcte,,,,,,,,
PCB_153,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20180228100437-PC-2885,2018-04-25,2018-04-25,0.00030000000000000003,µg/L,Correcte,,,,,,,,
Néburon,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20180228100437-PC-2885,2018-04-25,2018-04-25,0.02,µg/L,Correcte,,,,,,,,
Fludioxonil,étier_de_la_Salle,RAU_DU_LOUP_PENDU_À_FRESNAY-EN-RETZ,20180228100437-PC-2885,2018-04-25,2018-04-25,0.002,µg/L,Correcte,,,,,,,,
Chlortoluron,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.01,µg/L,Correcte,,,,,,,,
Isodrine,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.001,µg/L,Correcte,,,,,,,,
Chlorfenvinphos,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.001,µg/L,Correcte,,,,,,,,
Benalaxyl,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.02,µg/L,Correcte,,,,,,,,
Piperonyl_butoxyde,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.005,µg/L,Correcte,,,,,,,,
Oxychlordane,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.001,µg/L,Correcte,,,,,,,,
Tébufénozide,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.02,µg/L,Correcte,,,,,,,,
fenoxaprop-ethyl,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.005,µg/L,Correcte,,,,,,,,
Terbumeton_désethyl,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.01,µg/L,Correcte,,,,,,,,
Fénamidone,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.02,µg/L,Correcte,,,,,,,,
Mésotrione,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.02,µg/L,Correcte,,,,,,,,
mandipropamid,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180906113752-PC-13497,2018-07-23,2018-07-24,0.02,µg/L,Correcte,,,,,,,,
Carbone_Organique,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,_centrifugée...),20180725144838-PC-11074,0001-01-01T14:53:28+00:53,1841,162,1,,,,,,,,
Dureté_totale,étier_de_Cordemais,CANAL_DU_MARAIS_DE_LA_ROCHE_À_BOUEE,20180228100437-PC-2884,2018-04-27,2018-04-27,6.0,°f,Correcte,,,,,,,,
Etofenprox,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144838-PC-11074,2018-06-28,2018-06-29,0.005,µg/L,Correcte,,,,,,,,
Aldicarbe,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Bifenthrine,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.005,µg/L,Correcte,,,,,,,,
Méthabenzthiazuron,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Propoxur,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.01,µg/L,Correcte,,,,,,,,
Pyrifenox,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.01,µg/L,Correcte,,,,,,,,
Tolylfluanide,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Dimefuron,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Tébufénozide,l'Osée,RAU_DE_L'OSEE_À_REMOUILLE,20180725144840-PC-11075,2018-05-24,2018-05-25,0.02,µg/L,Correcte,,,,,,,,
Tétrabromodiph_éther_77,l'Isac,ISAC_à_GUENROUET,20180205184006-PC-1997,2018-03-22,2018-03-22,0.001,µg/L,Correcte,,,,,,,,
N-Ethyl-2-MethylAniline,l'Isac,ISAC_à_GUENROUET,20180205184006-PC-1997,2018-03-22,2018-03-22,0.1,µg/L,Correcte,,,,,,,,
Aldrine,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.001,µg/L,Correcte,,,,,,,,
Azinphos_méthyl,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.01,µg/L,Correcte,,,,,,,,
Bromoforme,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.4969354275,-1.9254608851,,,,
Indéno_(123cd)_pyrène,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.0006000000000000001,µg/L,Correcte,,,,,,,,
Cymoxanil,l'Isac,ISAC_à_GUENROUET,20180205184006-PC-1997,2018-03-22,2018-03-22,0.005,µg/L,Correcte,,,,,,,,
DDD_44',l'Isac,ISAC_à_GUENROUET,20180205184006-PC-1997,2018-03-22,2018-03-22,0.001,µg/L,Correcte,,,,,,,,
Deltaméthrine,l'Isac,ISAC_à_GUENROUET,20180205184006-PC-1997,2018-03-22,2018-03-22,0.001,µg/L,Correcte,,,,,,,,
Malathion,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.003,µg/L,Correcte,,,,,,,,
Ethylbenzène,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.2,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.7182176193,-1.41266973662,,,,
PCB_170,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.001,µg/L,Correcte,,,,,,,,
Esfenvalerate,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.02,µg/L,Correcte,,,,,,,,
Carbosulfan,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.02,µg/L,Correcte,,,,,,,,
Pyridabène,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.01,µg/L,Correcte,,,,,,,,
Triasulfuron,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.002,µg/L,Correcte,,,,,,,,
Fludioxonil,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.002,µg/L,Correcte,,,,,,,,
Pentabromodiph_éther_99,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.0005,µg/L,Correcte,,,,,,,,
PCB_81,la_Chère,CHERE_à_CHATEAUBRIANT,20181105101614-PC-17070,2018-12-10,2018-12-11,0.01,µg/L,Correcte,,,,,,,,
Fenthion,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.005,µg/L,Correcte,,,,,,,,
Mécoprop,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.002,µg/L,Correcte,,,,,,,,
Métoxuron,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.002,µg/L,Correcte,,,,,,,,
Terbuthylazine,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.002,µg/L,Correcte,,,,,,,,
n-Butyl_Phtalate,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.1,µg/L,Correcte,,,,,,,,
Naphtalène,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.05,µg/L,Correcte,,,,,,,,
Diméthénamide,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.002,µg/L,Correcte,,,,,,,,
Imazalil,la_Chère,CHERE_à_PIERRIC,20180103144756-PC-1123,2018-02-14,2018-02-14,0.005,µg/L,Correcte,,,,,,,,
Arsenic,la_Chère,CHERE_à_CHATEAUBRIANT,_centrifugée...),20180404102414-PC-4301,0001-01-01T13:53:28+00:53,1369,280,1,-1.41266973662,,,,,,,
Nickel,la_Chère,CHERE_à_CHATEAUBRIANT,_centrifugée...),20180426103900-PC-5612,0001-01-01T11:32:28+00:53,1386,328,1,-1.41266973662,,,,,,,
Sodium,la_Chère,CHERE_à_CHATEAUBRIANT,_centrifugée...),20180830094231-PC-12801,0001-01-01T12:03:28+00:53,1375,326,,_cours_d'eau_côtiers_vendéens__et_bretons,104,Agence_de_l'Eau_Loire-Bretagne,75680009000257,Eurofins_IPL_Est_-_Maxéville,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.7182176193
Carbendazime,la_Chère,CHERE_à_PIERRIC,20171220163417-PC-216,2018-01-17,2018-01-17,0.002,µg/L,Correcte,,,,,,,,
Carbofuran,la_Chère,CHERE_à_PIERRIC,20171220163417-PC-216,2018-01-17,2018-01-17,0.002,µg/L,Correcte,,,,,,,,
Dichloroéthène_11,la_Chère,CHERE_à_PIERRIC,20171220163417-PC-216,2018-01-17,2018-01-17,0.5,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.6996241457,-1.78567827469,,,,
Flusilazole,la_Chère,CHERE_à_PIERRIC,20171220163417-PC-216,2018-01-17,2018-01-17,0.002,µg/L,Correcte,,,,,,,,
Fenoxycarbe,la_Chère,CHERE_à_PIERRIC,20180205184001-PC-1995,2018-03-22,2018-03-22,0.005,µg/L,Correcte,,,,,,,,
fenoxaprop-ethyl,la_Chère,CHERE_à_PIERRIC,20180205184001-PC-1995,2018-03-22,2018-03-22,0.02,µg/L,Correcte,,,,,,,,
Quinoxyfen,la_Chère,CHERE_à_PIERRIC,20180205184001-PC-1995,2018-03-22,2018-03-22,0.002,µg/L,Correcte,,,,,,,,
2-chloro-4-nitrotoluene,la_Chère,CHERE_à_PIERRIC,20180205184001-PC-1995,2018-03-22,2018-03-22,0.05,µg/L,Correcte,,,,,,,,
Diéthyl_phtalate,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.05,µg/L,Correcte,,,,,,,,
Propachlore,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.002,µg/L,Correcte,,,,,,,,
Trichloronat,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.01,µg/L,Correcte,,,,,,,,
n-Butylbenzène,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,1.0,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.4969354275,-1.9254608851,,,,
Pencycuron,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.005,µg/L,Correcte,,,,,,,,
Buprofézine,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.05,µg/L,Correcte,,,,,,,,
Azoxystrobine,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.003,µg/L,Correcte,,,,,,,,
Chlorotoluène-2,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,1.0,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,47.4969354275,-1.9254608851,,,,
Diméthachlore_CGA_369873,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.015,µg/L,Correcte,,,,,,,,
Benzo(a)pyrène,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.001,µg/L,Correcte,,,,,,,,
Simazine,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.002,µg/L,Correcte,,,,,,,,
Phéopigments,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,6.3,µg/L,Correcte,,,,,,,,
Oxadiazon,l'Isac,ISAC_à_GUENROUET,20180404102429-PC-4306,2018-05-29,2018-05-29,0.005,µg/L,Correcte,,,,,,,,
Oxyfluorfene,l'Isac,ISAC_à_GUENROUET,20180228100257-PC-2814,2018-04-17,2018-04-17,0.02,µg/L,Correcte,,,,,,,,
PCBs_A1260,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.1,µg/L,Correcte,,,,,,,,
Norflurazone,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.002,µg/L,Correcte,,,,,,,,
Hexythiazox,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.005,µg/L,Correcte,,,,,,,,
Tebufenpyrad,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.02,µg/L,Correcte,,,,,,,,
6-Chloro-m-toluidine,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.03,µg/L,Correcte,,,,,,,,
Xylène_méta_+_para,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.03,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Difethialone,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.02,µg/L,Correcte,,,,,,,,
PCB_20,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.01,µg/L,Correcte,,,,,,,,
4-n-nonylphénol,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.02,µg/L,Correcte,,,,,,,,
DBO5,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,7.1,mg(O2)/L,Correcte,,,,,,,,
Méthoxychlore,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.005,µg/L,Correcte,,,,,,,,
Chloronaphtalène-2,le_Falleron,FALLERON_à_MACHECOUL,20180830094105-PC-12765,2018-10-25,2018-10-26,0.02,µg/L,Correcte,,,,,,,,
4-isopropylaniline,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.2,µg/L,Correcte,,,,,,,,
Fluroxypyr-meptyl,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.02,µg/L,Correcte,,,,,,,,
Spiroxamine,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.002,µg/L,Correcte,,,,,,,,
Resmethrine,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.05,µg/L,Correcte,,,,,,,,
Cyromazine,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.1,µg/L,Correcte,,,,,,,,
pentabromodiph_éther_85,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.001,µg/L,Correcte,,,,,,,,
Pentabromodiph_éther_99,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.0005,µg/L,Correcte,,,,,,,,
Xylène_méta_+_para,le_Falleron,FALLERON_à_MACHECOUL,20171220163318-PC-192,2018-01-16,2018-01-16,0.03,µg/L,0,75680009000257,Eurofins_IPL_Est_-_Maxéville,46.9888461009,-1.80915019184,,,,
Desmétryne,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.002,µg/L,Correcte,,,,,,,,
Fluvalinate-tau,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.1,µg/L,Correcte,,,,,,,,
Indéno_(123cd)_pyrène,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.0006000000000000001,µg/L,Correcte,,,,,,,,
Propazine,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.005,µg/L,Correcte,,,,,,,,
Diméthomorphe,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.002,µg/L,Correcte,,,,,,,,
Buturon,le_Falleron,FALLERON_à_MACHECOUL,20180103144658-PC-1091,2018-02-26,2018-02-26,0.005,µg/L,Correcte,,,,,,,,
pH,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20180416095352-PC-5012,2018-02-20,2018-02-20,7.24,unité_pH,Correcte,,,,,,,,
Teinte_de_l'eau,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20180416095352-PC-5012,2018-02-20,2018-02-20,,X,Correcte,,,,,,,,
Conductivité,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20190219104330-PC-480062,2018-01-18,2018-01-18,980.0,µS/cm,Correcte,,,,,,,,
Métazachlore,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20190219104445-PC-480176,2018-07-17,2018-07-20,0.004,µg/L,Correcte,,,,,,,,
Carbofuran,canal_de_Haute_Perche,CANAL_DE_HAUTE_PERCHE_à_PORNIC,20190219104447-PC-480177,2018-10-04,2018-10-04,0.007,µg/L,Correcte,,,,,,,,
propaquizafop,le_Falleron,FALLERON_à_MACHECOUL,20181105101442-PC-17032,2018-12-17,2018-12-18,0.02,µg/L,Correcte,,,,,,,,
fenoxaprop-ethyl,le_Falleron,FALLERON_à_MACHECOUL,20181105101442-PC-17032,2018-12-17,2018-12-18,0.04,µg/L,Correcte,-1.80915019184,,,,,,,
Triticonazole,le_Falleron,FALLERON_à_MACHECOUL,20181105101442-PC-17032,2018-12-17,2018-12-18,0.004,µg/L,Correcte,-1.80915019184,,,,,,,
Cyazofamide,le_Falleron,FALLERON_à_MACHECOUL,20181105101442-PC-17032,2018-12-17,2018-12-18,0.02,µg/L,Correcte,-1.80915019184,,,,,,,
Etrimfos,le_Falleron,FALLERON_à_MACHECOUL,20181105101442-PC-17032,2018-12-17,2018-12-18,0.02,µg/L,Correcte,,,,,,,,
Salinité,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-19,2.0,X,Correcte,,,,,,,,
Atrazine,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-20,0.01,µg/L,Correcte,,,,,,,,
Deltaméthrine,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-20,0.002,µg/L,Correcte,,,,,,,,
Ethion,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Flusilazole,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Mévinphos,le_Falleron,FALLERON_à_MACHECOUL,20190219104450-PC-480179,2018-04-19,2018-04-20,0.007,µg/L,Correcte,,,,,,,,
Méthomyl,le_Falleron,FALLERON_à_MACHECOUL,20181001100433-PC-15600,2018-11-27,2018-11-28,0.002,µg/L,Correcte,,,,,,,,
